Instance Name,Variant,Version,Nr ILS Iterations,Nr Hill Climbing Iterations,Best Solution Time,Best Score,Best score of all executions,Average Score of all executions
I10000_S30000_C1200,1,1,9,3377,1800,1348348,1348348,1348348.0
I10000_S30000_C1200,1,10,14,4043,1347,1348346,1348346,1348346.0
I10000_S30000_C1200,1,2,14,3301,1801,1348344,1348344,1348344.0
I10000_S30000_C1200,1,3,6,3468,1340,1348369,1348369,1348369.0
I10000_S30000_C1200,1,4,7,3298,1694,1348354,1348354,1348354.0
I10000_S30000_C1200,1,5,8,3261,1514,1348361,1348361,1348361.0
I10000_S30000_C1200,1,6,8,3407,994,1348355,1348355,1348355.0
I10000_S30000_C1200,1,7,6,3312,1547,1348354,1348354,1348354.0
I10000_S30000_C1200,1,8,9,3320,1594,1348342,1348342,1348342.0
I10000_S30000_C1200,1,9,11,3343,1629,1348359,1348359,1348359.0
I10000_S35030_C1000,1,1,1,197,1802,1300168,1300168,1300168.0
I10000_S35030_C1000,1,10,3,164,1611,1299825,1299825,1299825.0
I10000_S35030_C1000,1,2,2,204,1811,1299668,1299668,1299668.0
I10000_S35030_C1000,1,3,2,144,1227,1299899,1299899,1299899.0
I10000_S35030_C1000,1,4,2,183,519,1299807,1299807,1299807.0
I10000_S35030_C1000,1,5,3,159,1783,1300047,1300047,1300047.0
I10000_S35030_C1000,1,6,2,156,1814,1299988,1299988,1299988.0
I10000_S35030_C1000,1,7,1,186,1801,1300343,1300343,1300343.0
I10000_S35030_C1000,1,8,1,145,1805,1300219,1300219,1300219.0
I10000_S35030_C1000,1,9,1,129,1802,1299814,1299814,1299814.0
I100_S400_C600,1,1,31,10854,1674,146989,146989,146989.0
I100_S400_C600,1,10,29,11333,1800,147255,147255,147255.0
I100_S400_C600,1,2,55,21477,793,141197,141197,141197.0
I100_S400_C600,1,3,29,11219,1641,138722,138722,138722.0
I100_S400_C600,1,4,32,11415,1201,138992,138992,138992.0
I100_S400_C600,1,5,32,11229,1800,148262,148262,148262.0
I100_S400_C600,1,6,34,11486,1386,140109,140109,140109.0
I100_S400_C600,1,7,31,11122,1530,140234,140234,140234.0
I100_S400_C600,1,8,32,11006,1435,148753,148753,148753.0
I100_S400_C600,1,9,27,11053,616,140893,140893,140893.0
I100_S500_C500,1,1,68,27045,1800,450457,450457,450457.0
I100_S500_C500,1,10,129,52279,1341,450494,450494,450494.0
I100_S500_C500,1,2,79,26560,1109,450426,450426,450426.0
I100_S500_C500,1,3,82,31600,638,450425,450425,450425.0
I100_S500_C500,1,4,78,27507,1800,450415,450415,450415.0
I100_S500_C500,1,5,84,27729,1388,450453,450453,450453.0
I100_S500_C500,1,6,69,26998,1575,450410,450410,450410.0
I100_S500_C500,1,7,144,51104,1431,450504,450504,450504.0
I100_S500_C500,1,8,64,27107,1130,450406,450406,450406.0
I100_S500_C500,1,9,68,26781,1762,450427,450427,450427.0
I100_S600_C153,1,1,11,6599,1272,73351,73351,73351.0
I100_S600_C153,1,10,16,7440,1553,72690,72690,72690.0
