Instance Name,Variant,Version,Nr ILS Iterations,Nr Hill Climbing Iterations,Best Solution Time,Best Score
I7073_S9102_C1000,11,1,3,212,1262,4566782
I7073_S9102_C1000,11,4,1,168,1812,4566829
I7073_S9102_C1000,11,6,1,185,1818,4566749
I7073_S9102_C1000,11,5,1,190,1826,4566792
I7073_S9102_C1000,11,2,1,216,1806,4566865
I7073_S9102_C1000,11,10,2,185,1804,4566731
I7073_S9102_C1000,11,7,3,189,1847,4566749
I7073_S9102_C1000,11,3,2,166,1802,4566732
I7073_S9102_C1000,11,9,3,199,1808,4566808
I7073_S9102_C1000,11,8,2,179,1805,4566697
I10000_S35030_C1000,11,5,1,187,1803,1300557
I10000_S35030_C1000,11,6,1,174,1823,1300404
I10000_S35030_C1000,11,8,1,199,1809,1300225
I10000_S35030_C1000,11,2,1,154,1813,1300259
I10000_S35030_C1000,11,4,1,260,1807,1300815
I10000_S35030_C1000,11,10,2,213,1823,1300190
I10000_S35030_C1000,11,7,2,240,1802,1300012
I10000_S35030_C1000,11,3,1,195,1818,1299985
I10000_S35030_C1000,11,9,2,176,1022,1300016
I10000_S35030_C1000,11,1,2,198,1820,1300061
I8000_S95928_C1000,11,7,1,1,5585,1574018
I8000_S95928_C1000,11,9,1,13,3135,1574953
I8000_S95928_C1000,11,8,1,1,2740,1571627
I8000_S95928_C1000,11,5,1,4,2863,1574066
I8000_S95928_C1000,11,6,1,2,3486,1572021
I8000_S95928_C1000,11,2,1,1,3583,1572742
I8000_S95928_C1000,11,3,1,2,3527,1573319
I8000_S95928_C1000,11,10,1,6,2241,1575715
I8000_S95928_C1000,11,1,1,1,3722,1571983
I8000_S95928_C1000,11,4,1,2,2543,1573298
I500_S998_C1000,11,6,9,2455,1214,705000
I500_S998_C1000,11,2,12,3799,1800,711587
I500_S998_C1000,11,10,16,2934,1815,710926
I500_S998_C1000,11,1,13,4056,1800,718857
I500_S998_C1000,11,8,13,3140,1846,713028
I500_S998_C1000,11,4,13,2987,1800,713002
I500_S998_C1000,11,3,8,2906,1800,713533
