Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567147,4567005.8
I10000_S35030_C1000,1302168,1301636.4
I8000_S95928_C1000,1607488,1592161.4
I500_S998_C1000,750972,749802.6
I1662_S10000_C1000,1310696,1308038.6
I80_S240_C300,108291,108281.0
I80_S480_C600,487728,483133.6
I99_S399_C400,145856,145845.6
I100_S500_C500,450375,450334.2
I100_S600_C153,74694,72830.6
I120_S480_C500,568852,568813.4
I200_S1000_C400,22375,21307.8
I220_S660_C430,137489,135941.4
I300_S1500_C469,590259,590205.8
I600_S3000_C332,123337,123055.6
I2000_S12000_C57,54517,54511.4
I3333_S13332_C428,103181,103164.2
I4000_S24000_C401,1695924,1695895.2
I9000_S36000_C1500,1128608,1128591.2
I12000_S36000_C2000,2785162,2785147.8
