Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567156,4567063.4
I10000_S35030_C1000,1301601,1301268.4
I8000_S95928_C1000,1595456,1584508.4
I500_S998_C1000,718358,717530.6
I1662_S10000_C1000,1309962,1307598.2
I80_S240_C300,108294,108286.4
I80_S480_C600,490504,486630.6
I99_S399_C400,145861,145852.4
I100_S500_C500,450398,450365.0
I100_S600_C153,73985,73070.8
I120_S480_C500,568861,568839.2
I200_S1000_C400,21141,20634.2
I220_S660_C430,138840,137025.4
I300_S1500_C469,590231,590177.6
I600_S3000_C332,123022,122608.2
I2000_S12000_C57,54522,54514.2
I3333_S13332_C428,103179,103168.6
I4000_S24000_C401,1695922,1695902.6
I9000_S36000_C1500,1128614,1128602.0
I12000_S36000_C2000,2785168,2785155.2
