Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567063,4567014.0
I10000_S35030_C1000,1302077,1301810.0
I8000_S95928_C1000,1600531,1597155.6
I500_S998_C1000,752224,748928.8
I1662_S10000_C1000,1307328,1305386.0
I80_S240_C300,108295,108290.2
I80_S480_C600,489690,487077.8
I99_S399_C400,145864,145857.8
I100_S500_C500,450391,450352.2
I100_S600_C153,73312,72555.2
I120_S480_C500,568886,568854.8
I200_S1000_C400,21203,20905.6
I220_S660_C430,139627,137624.6
I300_S1500_C469,590259,590204.0
I600_S3000_C332,123407,122828.8
I2000_S12000_C57,54516,54512.4
I3333_S13332_C428,103193,103173.8
I4000_S24000_C401,1695937,1695908.6
I9000_S36000_C1500,1128624,1128599.6
I12000_S36000_C2000,2785174,2785165.8
