Instance Name,Best Result,Average Result
I7073_S9102_C1000,4566769,4566712.2
I10000_S35030_C1000,1300636,1300372.6
I8000_S95928_C1000,1588987,1585673.0
I500_S998_C1000,746811,744159.8
I1662_S10000_C1000,1304770,1301340.4
I80_S240_C300,108240,108230.0
I80_S480_C600,479753,475048.6
I99_S399_C400,145738,145726.0
I100_S500_C500,450112,450051.2
I100_S600_C153,71664,70701.6
I120_S480_C500,568601,568592.2
I200_S1000_C400,19309,18823.0
I220_S660_C430,129712,128286.8
I300_S1500_C469,589909,589862.2
I600_S3000_C332,122527,122044.8
I2000_S12000_C57,54495,54492.0
I3333_S13332_C428,103095,103092.2
I4000_S24000_C401,1695834,1695817.6
I9000_S36000_C1500,1128522,1128512.4
I12000_S36000_C2000,2785071,2785061.6
