Instance Name,Best Result,Average Result
I7073_S9102_C1000,4566942,4566906.4
I10000_S35030_C1000,1301442,1301129.6
I8000_S95928_C1000,1593588,1583766.0
I500_S998_C1000,746072,741648.6
I1662_S10000_C1000,1303514,1302272.8
I80_S240_C300,108277,108263.6
I80_S480_C600,478395,477864.2
I99_S399_C400,145816,145784.2
I100_S500_C500,450207,450180.4
I100_S600_C153,73744,72144.6
I120_S480_C500,568695,568668.0
I200_S1000_C400,20872,20129.0
I220_S660_C430,135392,133666.8
I300_S1500_C469,590087,590038.8
I600_S3000_C332,122700,122194.8
I2000_S12000_C57,54503,54500.8
I3333_S13332_C428,103130,103123.6
I4000_S24000_C401,1695864,1695854.6
I9000_S36000_C1500,1128569,1128556.2
I12000_S36000_C2000,2785109,2785099.8
