Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567065,4566947.0
I10000_S35030_C1000,1301534,1301365.4
I8000_S95928_C1000,1596504,1589192.6
I500_S998_C1000,748487,746252.0
I1662_S10000_C1000,1307848,1304328.2
I80_S240_C300,108268,108262.8
I80_S480_C600,481340,479199.0
I99_S399_C400,145805,145785.8
I100_S500_C500,450190,450165.2
I100_S600_C153,73187,71907.4
I120_S480_C500,568704,568686.6
I200_S1000_C400,20835,20087.0
I220_S660_C430,136008,133639.8
I300_S1500_C469,590082,590065.0
I600_S3000_C332,122725,122356.8
I2000_S12000_C57,54507,54502.6
I3333_S13332_C428,103142,103137.0
I4000_S24000_C401,1695872,1695863.8
I9000_S36000_C1500,1128583,1128561.8
I12000_S36000_C2000,2785129,2785110.0
