Instance Name,Best Result,Average Result
I7073_S9102_C1000,4567054,4566980.6
I10000_S35030_C1000,1301830,1301258.2
I8000_S95928_C1000,1591469,1584177.8
I500_S998_C1000,748797,746090.2
I1662_S10000_C1000,1306952,1304197.6
I80_S240_C300,108277,108266.6
I80_S480_C600,482186,479988.0
I99_S399_C400,145824,145816.2
I100_S500_C500,450246,450219.4
I100_S600_C153,72488,71946.6
I120_S480_C500,568779,568732.8
I200_S1000_C400,21355,20296.6
I220_S660_C430,136736,135524.2
I300_S1500_C469,590168,590130.0
I600_S3000_C332,123022,122651.6
I2000_S12000_C57,54506,54503.6
I3333_S13332_C428,103147,103145.0
I4000_S24000_C401,1695900,1695877.8
I9000_S36000_C1500,1128598,1128586.8
I12000_S36000_C2000,2785137,2785129.4
