Instance Name,Best Result,Average Result
I7073_S9102_C1000,4566951,4566840.6
I10000_S35030_C1000,1301142,1301062.2
I8000_S95928_C1000,1593367,1585161.0
I500_S998_C1000,746596,740712.4
I1662_S10000_C1000,1302606,1301813.4
I80_S240_C300,108288,108278.2
I80_S480_C600,482464,480195.2
I99_S399_C400,145862,145840.6
I100_S500_C500,450339,450282.4
I100_S600_C153,72558,71720.0
I120_S480_C500,568837,568812.8
I200_S1000_C400,20365,19939.0
I220_S660_C430,136796,135390.8
I300_S1500_C469,590272,590210.8
I600_S3000_C332,122638,122277.2
I2000_S12000_C57,54505,54498.0
I3333_S13332_C428,103160,103155.6
I4000_S24000_C401,1695878,1695857.8
I9000_S36000_C1500,1128599,1128590.0
I12000_S36000_C2000,2785159,2785135.8
